country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,0.372,0.44,0.476,0.383,0.378,0.357,0.313,0.398
Albania,,,0.463,,0.549,0.527,0.587,0.551,0.455,0.481,0.461
Algeria,,,,,,0.546,0.532,0.56,,0.635,
Angola,,,,,,,0.559,0.436,0.394,0.379,
Argentina,,0.631,0.607,0.596,0.642,0.644,0.678,0.647,0.658,0.667,0.67
Armenia,,0.429,0.488,0.465,0.418,0.437,0.426,0.432,0.428,0.445,0.435
Australia,0.734,,0.729,0.725,,0.745,0.741,0.72,0.736,0.729,0.731
Austria,,0.712,,0.718,,0.73,0.747,0.74,0.75,0.695,0.708
Azerbaijan,,0.473,0.457,0.482,0.457,0.422,0.468,0.491,0.548,0.525,0.515
Bahrain,,,,,0.57,0.594,0.482,0.503,0.669,0.617,0.601
Bangladesh,,0.432,0.461,0.505,0.508,0.486,0.499,0.472,0.466,0.464,0.463
Belarus,,0.566,0.562,0.546,0.556,0.553,0.523,0.575,0.588,0.581,0.572
Belgium,0.726,,0.722,0.712,,0.685,0.711,0.694,0.71,0.686,0.69
Belize,,,0.645,,,,,,,0.596,
Benin,,0.333,,0.367,,,0.387,0.319,0.348,0.335,0.362
Bhutan,,,,,,,,,0.557,0.494,0.508
Bolivia,,0.537,0.563,0.53,0.609,0.578,0.578,0.602,0.577,0.586,0.583
Bosnia and Herzegovina,,,0.49,,0.496,0.467,0.499,0.477,0.512,0.525,0.512
Botswana,,0.474,,0.545,,0.355,0.352,0.484,0.413,0.403,0.376
Brazil,0.664,,0.632,0.669,0.7,0.684,0.704,0.666,0.714,0.698,0.655
Bulgaria,,,0.384,,,0.391,0.388,0.422,0.399,0.444,0.487
Burkina Faso,,0.38,0.402,0.385,,0.404,0.479,0.396,0.333,0.348,0.442
Burundi,,,,0.356,0.379,,0.371,,,0.29,
Cambodia,,0.357,0.416,0.446,0.411,0.414,0.416,0.39,0.367,0.388,0.416
Cameroon,,0.385,0.435,0.429,0.474,0.455,0.443,0.424,0.427,0.424,0.504
Canada,0.742,,0.748,0.749,0.749,0.765,0.743,0.742,0.759,0.73,0.741
Central African Republic,,,0.416,,,0.357,0.368,,,,
Chad,,0.343,0.414,0.463,0.364,0.374,0.439,0.403,0.351,0.346,0.432
Chile,,0.606,0.57,0.579,0.649,0.664,0.653,0.66,0.674,0.684,0.653
China,,0.456,0.486,0.485,0.445,0.465,0.504,0.509,0.524,0.52,0.53
Colombia,,0.602,0.614,0.617,0.627,0.641,0.646,0.637,0.661,0.645,0.639
Comoros,,,,,0.348,0.381,0.384,0.396,,,
"Congo, Dem. Rep.",,,,,0.398,,0.452,0.464,0.45,0.441,0.39
"Congo, Rep.",,,,0.382,,,0.451,0.392,0.395,0.406,0.469
Costa Rica,,0.708,0.743,0.685,0.761,0.727,0.723,0.727,0.716,0.725,0.685
Cote d'Ivoire,,,,,0.42,,,,0.374,0.357,0.445
Croatia,,,0.582,,0.543,0.56,0.539,0.603,0.589,0.538,0.521
Cuba,,0.542,,,,,,,,,
Cyprus,,0.624,,,0.683,0.639,0.669,0.618,0.544,0.563,0.544
Czech Republic,0.644,,0.65,,,0.625,0.633,0.633,0.67,0.648,0.661
Denmark,0.802,,0.783,0.797,0.768,0.777,0.779,0.752,0.759,0.751,0.751
Djibouti,,,,0.501,0.491,0.501,0.437,,,,
Dominican Republic,,0.509,0.508,0.484,0.543,0.474,0.54,0.475,0.502,0.539,0.506
Ecuador,,0.502,0.5,0.53,0.602,0.584,0.58,0.596,0.602,0.595,0.596
Egypt,0.517,,0.554,0.463,0.507,0.467,0.417,0.42,0.356,0.489,0.476
El Salvador,,0.57,0.53,0.519,0.684,0.674,0.474,0.593,0.633,0.586,0.602
Estonia,,0.537,0.533,0.545,0.514,,0.549,0.536,0.537,0.556,0.563
Eswatini,,,,,,,0.487,,,,
Ethiopia,,,,,,,,0.456,0.444,0.451,0.457
Finland,,0.767,,0.767,,0.739,0.735,0.742,0.744,0.738,0.745
France,0.709,0.658,,0.701,0.628,0.68,0.696,0.665,0.667,0.647,0.636
Gabon,,,,,,,0.426,0.397,0.38,0.392,0.466
Gambia,,,,,,,,,,,
Georgia,,0.368,0.371,0.416,0.38,0.41,0.42,0.425,0.435,0.429,0.412
Germany,0.662,,0.642,0.652,0.664,0.672,0.662,0.67,0.697,0.698,0.704
Ghana,,0.454,0.522,0.497,0.42,0.461,0.561,0.506,0.497,0.386,0.399
Greece,0.601,,0.665,,0.604,0.584,0.537,0.51,0.472,0.476,0.562
Guatemala,,0.59,0.633,0.641,0.645,0.629,0.574,0.586,0.598,0.654,0.646
Guinea,,,,,,,0.404,0.365,0.39,0.341,0.35
Guyana,,,0.599,,,,,,,,
Haiti,,0.375,,0.385,,0.377,0.484,0.441,0.462,0.389,0.357
Honduras,,0.54,0.51,0.542,0.603,0.587,0.496,0.46,0.471,0.506,0.485
Hungary,0.519,,0.495,,0.489,0.473,0.492,0.468,0.491,0.518,0.534
Iceland,,,,0.689,,,,0.759,0.75,,0.75
India,,0.535,0.503,0.515,0.452,0.499,0.463,0.472,0.443,0.442,0.434
Indonesia,,0.495,0.51,0.482,0.547,0.546,0.517,0.537,0.529,0.56,0.504
Iran,0.531,,0.534,0.513,,,0.477,0.461,0.514,0.468,0.475
Iraq,,,,0.459,0.478,0.507,0.473,0.466,0.473,0.454,0.449
Ireland,,0.714,,0.757,0.705,0.726,0.701,0.696,0.676,0.702,0.683
Israel,,0.717,0.684,0.726,0.735,0.736,0.743,0.711,0.732,0.74,0.708
Italy,0.685,,0.657,0.678,0.633,0.635,0.606,0.584,0.601,0.603,0.585
Jamaica,,0.621,,,,,0.537,,0.571,0.531,
Japan,0.652,,0.624,0.591,0.584,0.606,0.626,0.597,0.596,0.592,0.588
Jordan,0.629,,0.56,0.493,0.6,0.557,0.554,0.513,0.517,0.533,0.54
Kazakhstan,,0.548,0.572,0.589,0.538,0.551,0.574,0.576,0.584,0.597,0.595
Kenya,,0.422,0.458,0.402,0.427,0.426,0.441,0.455,0.38,0.49,0.436
Kuwait,,0.608,,,0.659,0.68,0.638,0.622,0.648,0.618,0.615
Kyrgyz Republic,,0.464,0.47,0.474,0.507,0.5,0.492,0.521,0.54,0.525,0.491
Lao,,0.508,0.536,0.504,,,0.47,0.488,,,
Latvia,,0.471,0.467,0.515,0.467,,0.497,0.513,0.507,0.573,0.588
Lebanon,0.549,0.465,,0.459,0.521,0.503,0.519,0.457,0.498,0.523,0.517
Lesotho,,,,,,,0.49,,,,
Liberia,,,0.37,0.422,,0.42,,,,0.457,0.27
Libya,,,,,,,,0.575,,,0.562
Lithuania,,0.595,0.581,0.555,0.547,0.507,0.543,0.577,0.56,0.613,0.571
Luxembourg,,,,,0.696,0.71,0.71,0.696,0.713,0.689,0.67
Madagascar,,0.398,,0.464,,,0.438,0.355,0.382,0.368,0.359
Malawi,,0.383,0.489,,0.515,,0.395,0.428,0.404,0.456,0.387
Malaysia,,0.601,0.624,0.581,0.538,0.558,0.579,0.591,0.577,0.596,0.632
Maldives,,,,,,,,,,,
